player_name,team_name,season,conference_name,player_source_group,position_raw,position_group,games_played,minutes_total,minutes_per_game,points_per_game,pct_possessions,usg_pct,ast_pct,assist_rate,three_pa,three_pt_pct,three_point_attempt_rate,ft_rate,trb_pct,orb_pct,drb_pct,blk_pct,stl_pct,ts_pct,efg_pct,ortg,drtg,pprod,tov_pct,archetype,archetype_reason,archetype_rule,archetype_score,score_primary_creator,score_secondary_playmaker,score_offball_shooter,score_scoring_forward,score_3andd_forward,score_interior_forward,score_glue_forward
Jaylin Henderson,Portland State,2026,Big Sky,Big Sky Comparison,G,Guard,30.0,1116.0,37.1,17.9,0.0,27.1,30.5,30.5,6.2,0.273,0.281,0.415,6.2,2.1,10.4,1.0,2.5,0.523,0.465,109.6,103.8,573.0,15.0,Primary Creator,"Assigned as Primary Creator because the strongest aligned guard indicators were ast_pct=30.500, assist_rate=30.500, usg_pct=27.100.","Assigned to high-creation guards driven by assist rate, usage, foul pressure, and offensive involvement.",0.82875,0.82875,0.673043,0.388478,,,,
Jed Miller,Montana State,2026,Big Sky,Big Sky Comparison,G,Guard,32.0,1104.0,34.4,14.8,0.0,19.9,15.4,15.4,11.7,0.406,0.656,0.299,10.1,6.1,14.1,0.4,2.7,0.625,0.594,133.0,106.4,490.0,9.5,Off-Ball Shooter,"Assigned as Off-Ball Shooter because the strongest aligned guard indicators were ts_pct=0.625, efg_pct=0.594, three_pt_pct=0.406.","Assigned to guards whose profile is driven by perimeter volume, three-point efficiency, and spacing tendency.",0.860217,0.709293,0.833533,0.860217,,,,
Prophet Johnson,Sacramento State,2026,Big Sky,Big Sky Comparison,G,Guard,30.0,1063.0,35.4,18.2,0.0,25.1,22.9,22.9,6.5,0.392,0.306,0.38,11.3,5.0,17.9,1.1,4.0,0.567,0.528,113.8,108.3,545.0,12.5,Primary Creator,"Assigned as Primary Creator because the strongest aligned guard indicators were usg_pct=25.100, ast_pct=22.900, assist_rate=22.900.","Assigned to high-creation guards driven by assist rate, usage, foul pressure, and offensive involvement.",0.77712,0.77712,0.748859,0.599565,,,,
Isaiah Moses,Eastern Washington,2026,Big Sky,Big Sky Comparison,G,Guard,31.0,1032.0,33.29032258064516,1.0064516129032255,0.0,26.7,23.3,23.3,8.5,0.424,0.386,0.353,5.7,1.7,9.7,0.3,1.5,0.608,0.545,117.6,119.1,545.0,16.6,Primary Creator,"Assigned as Primary Creator because the strongest aligned guard indicators were usg_pct=26.700, ast_pct=23.300, assist_rate=23.300.","Assigned to high-creation guards driven by assist rate, usage, foul pressure, and offensive involvement.",0.781522,0.781522,0.73087,0.696304,,,,
Tijan Saine,Weber State,2026,Big Sky,Big Sky Comparison,G,Guard,31.0,1007.0,32.5,17.2,0.0,24.2,24.4,24.4,7.9,0.34,0.392,0.503,4.1,1.0,7.2,0.0,1.8,0.599,0.517,127.4,112.9,532.0,11.0,Primary Creator,"Assigned as Primary Creator because the strongest aligned guard indicators were ft_rate=0.503, ast_pct=24.400, assist_rate=24.400.","Assigned to high-creation guards driven by assist rate, usage, foul pressure, and offensive involvement.",0.822935,0.822935,0.777772,0.594674,,,,
Zach Bloch,Northern Colorado,2026,Big Sky,Big Sky Comparison,G,Guard,31.0,1003.0,32.4,11.6,0.0,16.4,11.4,11.4,12.0,0.433,0.781,0.19,4.7,0.6,8.4,0.1,2.5,0.616,0.597,124.3,109.1,330.0,9.6,Off-Ball Shooter,"Assigned as Off-Ball Shooter because the strongest aligned guard indicators were three_pt_pct=0.433, efg_pct=0.597, three_point_attempt_rate=0.781.","Assigned to guards whose profile is driven by perimeter volume, three-point efficiency, and spacing tendency.",0.908804,0.572717,0.766413,0.908804,,,,
Jackson Rasmussen,Idaho,2026,Big Sky,Big Sky Comparison,F,Forward,32.0,995.0,31.09375,0.81875,0.0,23.2,8.6,8.6,5.9,0.314,0.296,0.333,8.5,4.9,12.1,1.3,1.0,0.566,0.536,110.7,109.1,419.0,13.4,Scoring Forward,"Assigned as Scoring Forward because the strongest aligned forward indicators were pprod=419, usg_pct=23.200, ft_rate=0.333.","Assigned to forwards whose profile is driven by usage, scoring efficiency, free-throw pressure, and point production.",0.610333,,,,0.610333,0.579,0.3675,0.458333
Quinn Denker,Northern Colorado,2026,Big Sky,Big Sky Comparison,G,Guard,29.0,989.0,34.1,18.9,0.0,27.2,37.7,37.7,7.5,0.349,0.325,0.348,9.0,2.6,14.8,1.2,1.3,0.591,0.548,125.4,109.1,602.0,12.8,Primary Creator,"Assigned as Primary Creator because the strongest aligned guard indicators were ast_pct=37.700, assist_rate=37.700, usg_pct=27.200.","Assigned to high-creation guards driven by assist rate, usage, foul pressure, and offensive involvement.",0.86538,0.86538,0.787609,0.567826,,,,
Connor Hollenbeck,Idaho State,2026,Big Sky,Big Sky Comparison,F,Forward,33.0,985.0,29.8,13.3,0.0,22.7,10.9,10.9,7.8,0.344,0.422,0.488,10.2,8.2,12.2,1.5,1.8,0.583,0.525,119.4,116.9,429.0,13.8,Scoring Forward,"Assigned as Scoring Forward because the strongest aligned forward indicators were pprod=429, points_per_game=13.300, usg_pct=22.700.","Assigned to forwards whose profile is driven by usage, scoring efficiency, free-throw pressure, and point production.",0.739333,,,,0.739333,0.667833,0.507333,0.542
Lachlan Brewer,Idaho State,2026,Big Sky,Big Sky Comparison,G,Guard,33.0,973.0,29.9,8.2,0.0,14.7,6.9,6.9,7.1,0.31,0.532,0.193,7.6,5.6,9.6,1.1,1.2,0.565,0.537,115.2,119.5,263.0,14.1,Off-Ball Shooter,"Assigned as Off-Ball Shooter because the strongest aligned guard indicators were efg_pct=0.537, three_point_attempt_rate=0.532, ts_pct=0.565.","Assigned to guards whose profile is driven by perimeter volume, three-point efficiency, and spacing tendency.",0.588913,0.384457,0.49163,0.588913,,,,
Ryan Abelman,Northern Arizona,2026,Big Sky,Big Sky Comparison,G,Guard,30.0,967.0,32.2,10.5,0.0,18.3,11.3,11.3,8.9,0.361,0.524,0.171,9.8,5.1,14.6,0.5,2.4,0.528,0.495,110.8,115.6,319.0,9.7,Off-Ball Shooter,"Assigned as Off-Ball Shooter because the strongest aligned guard indicators were three_pt_pct=0.361, three_pa=8.900, three_point_attempt_rate=0.524.","Assigned to guards whose profile is driven by perimeter volume, three-point efficiency, and spacing tendency.",0.670543,0.57087,0.604891,0.670543,,,,
Money Williams,Montana,2026,Big Sky,Montana,G,Guard,31.0,960.0,30.967741935483872,1.1516129032258065,0.0,33.2,34.7,34.7,7.3,0.339,0.309,0.501,7.9,2.1,12.5,1.0,1.8,0.612,0.544,111.3,106.3,626.0,20.1,Primary Creator,"Assigned as Primary Creator because the strongest aligned guard indicators were usg_pct=33.200, ast_pct=34.700, assist_rate=34.700.","Assigned to high-creation guards driven by assist rate, usage, foul pressure, and offensive involvement.",0.85587,0.85587,0.756902,0.563043,,,,
Brock Wisne,Northern Colorado,2026,Big Sky,Big Sky Comparison,F,Forward,30.0,956.0,31.9,16.3,0.0,24.5,16.1,16.1,4.7,0.342,0.224,0.236,11.7,7.8,15.2,1.3,1.5,0.623,0.607,119.2,108.3,476.0,15.2,Scoring Forward,"Assigned as Scoring Forward because the strongest aligned forward indicators were pprod=476, points_per_game=16.300, usg_pct=24.500.","Assigned to forwards whose profile is driven by usage, scoring efficiency, free-throw pressure, and point production.",0.807,,,,0.807,0.626833,0.535333,0.631
Biko Johnson,Idaho,2026,Big Sky,Big Sky Comparison,G,Guard,33.0,919.0,27.59375,0.809375,0.0,25.3,17.1,17.1,11.4,0.324,0.528,0.377,7.7,4.1,11.4,0.1,2.3,0.511,0.465,108.0,106.9,420.0,12.7,Primary Creator,"Assigned as Primary Creator because the strongest aligned guard indicators were usg_pct=25.300, ast_pct=17.100, assist_rate=17.100.","Assigned to high-creation guards driven by assist rate, usage, foul pressure, and offensive involvement.",0.736739,0.736739,0.617011,0.637174,,,,
