player_name,team_name,season,position_raw,class,height,weight,position_group,position_group_rule,source_dataset
Alan Gballou,Eastern Washington,2026,F,FR,6-7,255.0,Forward,forward_or_center,big_sky
Alton Hamilton,Eastern Washington,2026,F,JR,6-8,235.0,Forward,forward_or_center,big_sky
Andrew Cook,Eastern Washington,2026,G,SR,6-4,205.0,Guard,direct_guard,big_sky
Angelo Winkel,Eastern Washington,2026,F,SR,6-9,220.0,Forward,forward_or_center,big_sky
Cole Scherer,Eastern Washington,2026,G,FR,6-2,185.0,Guard,direct_guard,big_sky
Elijah Thomas,Eastern Washington,2026,G,SR,6-6,190.0,Guard,direct_guard,big_sky
Emmett Marquardt,Eastern Washington,2026,F,SO,6-9,220.0,Forward,forward_or_center,big_sky
Isaiah Moses,Eastern Washington,2026,G,SR,6-1,165.0,Guard,direct_guard,big_sky
Johnny Radford,Eastern Washington,2026,G,SR,6-1,180.0,Guard,direct_guard,big_sky
Jojo Anderson,Eastern Washington,2026,G,SR,6-0,180.0,Guard,direct_guard,big_sky
Kiree Huie,Eastern Washington,2026,F,SR,6-9,210.0,Forward,forward_or_center,big_sky
Maddox Monson,Eastern Washington,2026,G,SR,6-2,180.0,Guard,direct_guard,big_sky
Shaumba Ngoyi,Eastern Washington,2026,F,SR,6-9,200.0,Forward,forward_or_center,big_sky
Straton Rogers,Eastern Washington,2026,G,SR,6-5,205.0,Guard,direct_guard,big_sky
Tyler Powell,Eastern Washington,2026,G,SR,6-5,220.0,Guard,direct_guard,big_sky
Aidan Sevilla,Idaho,2026,G,SR,6-0,180.0,Guard,direct_guard,big_sky
Biko Johnson,Idaho,2026,G,SR,6-2,180.0,Guard,direct_guard,big_sky
Brody Rowbury,Idaho,2026,F,SR,6-11,290.0,Forward,forward_or_center,big_sky
Ewan Steele,Idaho,2026,F,SO,6-9,220.0,Forward,forward_or_center,big_sky
Isaiah Brickner,Idaho,2026,G,SR,6-4,190.0,Guard,direct_guard,big_sky
Jack Payne,Idaho,2026,G,JR,6-6,195.0,Guard,direct_guard,big_sky
Jackson Rasmussen,Idaho,2026,F,FR,6-7,200.0,Forward,forward_or_center,big_sky
Kolton Mitchell,Idaho,2026,G,SO,6-1,175.0,Guard,direct_guard,big_sky
Kristian Gonzalez,Idaho,2026,G,JR,6-3,180.0,Guard,direct_guard,big_sky
Miles Klapper,Idaho,2026,G,SO,6-3,185.0,Guard,direct_guard,big_sky
Seth Joba,Idaho,2026,F,JR,6-9,225.0,Forward,forward_or_center,big_sky
Talon Jenkins,Idaho,2026,G,FR,6-7,,Guard,direct_guard,big_sky
Titus Yearout,Idaho,2026,G,SR,6-2,181.0,Guard,direct_guard,big_sky
Trevon Blassingame,Idaho,2026,G,SR,6-4,173.0,Guard,direct_guard,big_sky
Tyler Linhardt,Idaho,2026,F,SR,6-7,220.0,Forward,forward_or_center,big_sky
William Jenson,Idaho,2026,F,FR,6-9,,Forward,forward_or_center,big_sky
Blake Daberkow,Idaho State,2026,F,SR,6-10,235.0,Forward,forward_or_center,big_sky
Caleb Van De Griend,Idaho State,2026,F,SR,6-8,250.0,Forward,forward_or_center,big_sky
