player_name,team_name,season,conference_name,position_group,position_raw,archetype,three_point_pct_percentile,three_point_attempt_rate_percentile,effective_field_goal_pct_percentile,true_shooting_pct_percentile,three_point_pct_weighted_score,three_point_attempt_rate_weighted_score,effective_field_goal_pct_weighted_score,true_shooting_pct_weighted_score,shooting_score
Amari Jedkins,Montana,2026,Big Sky,Forward,F,,60.0,80.0,25.0,25.0,21.0,16.0,6.25,5.0,48.25
Brooklyn Hicks,Montana,2026,Big Sky,Guard,G,,52.78,55.56,80.56,75.0,18.47,11.11,20.14,15.0,64.72
Chase Henderson,Montana,2026,Big Sky,Guard,G,,57.89,22.37,73.68,67.11,20.26,4.47,18.42,13.42,56.58
Connor Dick,Montana,2026,Big Sky,Guard,G,,15.22,31.52,28.26,47.83,5.33,6.3,7.07,9.57,28.26
Courtney Anderson,Montana,2026,Big Sky,Guard,G,,100.0,100.0,100.0,100.0,35.0,20.0,25.0,20.0,100.0
Grant Kepley,Montana,2026,Big Sky,Guard,G,,28.21,15.38,20.51,23.08,9.87,3.08,5.13,4.62,22.69
Kadyn Betts,Montana,2026,Big Sky,Forward,F,,100.0,75.0,100.0,100.0,35.0,15.0,25.0,20.0,95.0
Kenyon Aguino,Montana,2026,Big Sky,Forward,F,,46.15,46.15,69.23,69.23,16.15,9.23,17.31,13.85,56.54
Money Williams,Montana,2026,Big Sky,Guard,G,,0.0,0.0,100.0,100.0,0.0,0.0,25.0,20.0,45.0
Tejon Sawyer,Montana,2026,Big Sky,Forward,F,,54.17,66.67,79.17,77.08,18.96,13.33,19.79,15.42,67.5
Trae Taylor,Montana,2026,Big Sky,Forward,F,,20.37,18.52,88.89,62.96,7.13,3.7,22.22,12.59,45.65
Tyler Isaak,Montana,2026,Big Sky,Guard,G,,51.16,58.14,48.84,65.12,17.91,11.63,12.21,13.02,54.77
Tyler Thompson,Montana,2026,Big Sky,Guard,G,,86.36,90.91,86.36,86.36,30.23,18.18,21.59,17.27,87.27
