team_name,season,conference_abbreviation,conference_name,wins,losses,adj_em,adj_o,adj_d,tempo,luck,sos_adj_em,sos_off,sos_def,ncsos_adj_em,rank_adj_em,rank_adj_o,rank_adj_d,rank_tempo,rank_luck,rank_sos_adj_em,efg_off,efg_def,to_rate_off,to_rate_def,orb_rate,drb_rate,ft_rate,opp_ft_rate,source_ratings_endpoint,source_four_factors_endpoint
Eastern Washington,2026,BSky,Big Sky,13,18,0.4257,113.84,113.414,67.6446,-0.0722,1.2397,,,,166,102,256,164,338,,,,,,,,35.2738,,ratings,four-factors
Idaho,2026,BSky,Big Sky,19,14,0.5991,109.232,108.633,67.5956,-0.0225,-1.3037,,,,165,176,155,169,246,,,,,,,,33.5758,,ratings,four-factors
Idaho State,2026,BSky,Big Sky,13,20,-7.0191,109.698,116.717,65.6087,-0.0353,-0.2887,,,,249,165,315,278,290,,,,,,,,37.9475,,ratings,four-factors
Montana,2026,BSky,Big Sky,16,15,-1.899,106.658,108.557,69.24,0.0292,0.0458,,,,187,222,153,83,112,,,,,,,,35.7729,,ratings,four-factors
Montana State,2026,BSky,Big Sky,18,14,2.9993,111.098,108.099,66.003,-0.0827,0.3405,,,,132,138,142,262,346,,,,,,,,30.2422,,ratings,four-factors
Northern Arizona,2026,BSky,Big Sky,10,22,-14.439,105.361,119.8,63.9234,0.0306,-0.7176,,,,320,253,344,340,109,,,,,,,,31.7692,,ratings,four-factors
Northern Colorado,2026,BSky,Big Sky,20,11,2.4085,112.075,109.666,68.6716,-0.0141,-1.749,,,,136,123,186,111,225,,,,,,,,27.2781,,ratings,four-factors
Portland State,2026,BSky,Big Sky,20,10,1.8573,104.006,102.149,67.9513,0.025,-1.6398,,,,141,273,47,145,125,,,,,,,,37.0656,,ratings,four-factors
Sacramento State,2026,BSky,Big Sky,10,21,-8.3125,106.025,114.338,71.7965,-0.0222,1.7383,,,,265,233,277,13,245,,,,,,,,41.2359,,ratings,four-factors
Weber State,2026,BSky,Big Sky,16,15,-2.4383,111.838,114.276,68.5908,-0.02,-1.6775,,,,193,129,274,117,239,,,,,,,,39.0328,,ratings,four-factors
Abilene Christian,2026,WAC,,13,18,-6.7441,100.792,107.536,67.4923,0.0262,0.9118,,,,246,319,132,178,120,,,,,,,,40.0391,,ratings,four-factors
Air Force,2026,MWC,,3,28,-19.458,96.5161,115.974,66.2074,-0.0021,5.2348,,,,344,350,302,250,190,,,,,,,,35.6329,,ratings,four-factors
Akron,2026,MAC,,26,5,13.4241,120.688,107.264,70.6173,-0.0063,-3.9744,,,,61,42,128,29,206,,,,,,,,29.0749,,ratings,four-factors
Alabama,2026,SEC,,23,8,26.1247,129.612,103.487,73.0594,0.0379,17.0173,,,,15,3,67,4,92,,,,,,,,37.1331,,ratings,four-factors
Alabama A&M,2026,SWAC,,17,14,-12.2024,104.871,117.073,65.5304,0.0533,-10.5108,,,,301,258,317,286,56,,,,,,,,44.9735,,ratings,four-factors
Alabama St.,2026,SWAC,,10,21,-13.5045,99.9862,113.491,69.4459,-0.0678,-5.954,,,,317,325,257,74,331,,,,,,,,35.0166,,ratings,four-factors
Albany,2026,AE,,11,21,-14.9211,103.494,118.415,65.2743,-0.0859,-7.02,,,,325,280,332,298,347,,,,,,,,24.9402,,ratings,four-factors
Alcorn St.,2026,SWAC,,8,22,-21.21,96.6985,117.908,67.3691,0.0399,-4.419,,,,351,349,328,182,84,,,,,,,,30.2041,,ratings,four-factors
American,2026,PL,,16,16,-6.4046,105.713,112.117,66.7438,-0.0244,-7.651,,,,240,239,233,221,254,,,,,,,,28.654,,ratings,four-factors
Appalachian St.,2026,SB,,19,13,-2.359,106.066,108.425,63.0403,0.0151,-5.2314,,,,192,230,151,359,145,,,,,,,,39.1461,,ratings,four-factors
Arizona,2026,B12,,29,2,37.3395,126.652,89.312,70.1526,0.0107,14.0889,,,,3,7,3,46,156,,,,,,,,42.8571,,ratings,four-factors
Arizona St.,2026,B12,,16,15,13.1654,116.625,103.46,69.2056,0.0308,14.0824,,,,63,72,66,85,108,,,,,,,,39.823,,ratings,four-factors
Arkansas,2026,SEC,,23,8,25.9662,127.884,101.918,71.2167,0.0289,14.7352,,,,18,6,44,21,113,,,,,,,,36.4641,,ratings,four-factors
Arkansas Pine Bluff,2026,SWAC,,13,18,-13.4198,103.24,116.66,69.1142,0.0384,-5.1594,,,,316,285,314,91,89,,,,,,,,38.2212,,ratings,four-factors
Arkansas St.,2026,SB,,20,12,1.385,110.823,109.438,71.9946,0.0079,-3.5135,,,,148,144,174,11,167,,,,,,,,39.1281,,ratings,four-factors
Army,2026,PL,,11,21,-18.4577,100.282,118.74,67.1553,0.0441,-7.5426,,,,337,323,335,194,65,,,,,,,,26.8293,,ratings,four-factors
Auburn,2026,SEC,,16,15,18.7489,125.795,107.046,67.1909,-0.0508,16.8439,,,,39,13,124,192,312,,,,,,,,45.4447,,ratings,four-factors
