datathrough,confonly,teamname,season,efg_pct,rankefg_pct,to_pct,rankto_pct,or_pct,rankor_pct,ft_rate,rankft_rate,defg_pct,rankdefg_pct,dto_pct,rankdto_pct,dor_pct,rankdor_pct,dft_rate,rankdft_rate,oe,rankoe,de,rankde,tempo,ranktempo,adjoe,rankadjoe,adjde,rankadjde,adjtempo,rankadjtempo,source_name,endpoint,processed_at_utc,processed_at_local
"Sunday, February 1",true,Abilene Christian,2026,50.112,4,19.202,3,29.104,7,37.528,6,57.439,6,24.456,1,35.047,5,41.951,5,101.628,7,110.867,7,69.0016,4,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Air Force,2026,46.62,11,23.29,12,18.845,12,27.634,12,57.941,11,15.426,11,34.483,12,35.428,3,84.6913,12,122.954,11,66.1225,8,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Akron,2026,57.595,3,17.321,11,35.224,2,23.259,13,47.462,1,18.598,2,30.769,8,34.518,5,119.825,2,100.942,1,70.4362,4,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Alabama,2026,51.838,6,13.08,5,29.721,13,39.265,6,47.854,2,10.9,16,33.431,12,43.284,13,115.208,6,112.022,5,74.5391,1,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Alabama A&M,2026,52.425,5,17.805,5,31.076,6,46.882,5,50.328,7,17.805,8,29.856,6,36.026,2,111.737,2,106.105,7,68.8,10,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Alabama St.,2026,48.529,9,20.595,9,33.216,3,38.445,10,49.77,5,21.777,2,31.076,8,52.184,12,100.443,11,104.326,5,74.0469,1,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Albany,2026,50.774,4,18.109,9,33.721,2,25.442,9,48.05,2,15.353,5,28.947,7,32.569,4,106.291,5,103.732,4,63.5047,7,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Alcorn St.,2026,50.106,6,18.057,6,31.071,7,28.723,12,55.071,11,18.057,7,28.226,5,43.868,9,105.392,8,110.551,11,67.8422,11,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,American,2026,52.936,5,16.575,6,26.582,6,24.911,10,49.335,2,18.57,1,29.573,7,40.304,10,108.195,5,103.438,2,65.16,8,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Appalachian St.,2026,50.52,7,15.272,5,31.504,5,33.581,9,45.111,1,14.097,12,24.89,2,30.222,3,107.815,7,97.2426,1,63.8438,13,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Arizona,2026,55.027,4,13.177,3,36.364,3,43.627,1,45.25,1,15.903,7,26.579,2,22.833,1,120.409,4,97.9932,1,73.3611,1,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Arizona St.,2026,50.991,11,17.719,14,31.832,7,34.414,6,56.328,15,17.566,3,37.582,16,34.759,11,107.229,11,119.754,15,72.7417,2,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Arkansas,2026,56.162,1,12.986,4,32.0,8,32.746,15,54.273,15,16.232,5,30.897,4,33.455,3,119.807,3,113.469,10,71.875,2,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Arkansas Pine Bluff,2026,53.356,4,18.313,7,28.244,9,50.231,2,49.103,3,17.779,9,34.191,10,50.897,11,110.588,3,107.21,9,69.2109,9,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Arkansas St.,2026,51.259,6,19.502,14,38.369,1,38.815,3,52.345,12,14.595,11,24.737,1,35.703,7,111.226,3,110.094,11,71.4221,1,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Army,2026,51.55,6,16.06,4,32.804,1,26.591,9,56.469,10,15.176,7,27.76,6,34.965,7,109.325,4,117.576,10,65.4269,7,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Auburn,2026,50.755,9,14.147,8,36.025,3,50.566,1,53.696,14,17.008,2,32.353,8,43.385,14,117.467,4,112.857,8,68.8846,9,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Austin Peay,2026,52.601,9,14.156,5,29.972,6,41.107,2,50.845,1,19.393,1,30.226,8,30.405,6,115.368,7,103.619,1,70.6438,2,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
