team,conference,adj_off,adj_def,tempo,luck,sos,season
Davidson,A10,110.691,104.761,64.2178,0.0293,2.6184,2026
Dayton,A10,111.383,100.722,68.2738,0.0337,4.0891,2026
Duquesne,A10,110.652,107.743,69.8402,-0.0106,2.3533,2026
Fordham,A10,105.037,104.686,64.5681,-0.0439,-2.3692,2026
George Mason,A10,114.1,106.065,64.9254,0.0674,0.5784,2026
George Washington,A10,118.124,108.367,70.0705,-0.1476,1.2919,2026
La Salle,A10,105.568,110.762,66.2521,-0.0295,5.6157,2026
Loyola Chicago,A10,103.277,114.707,66.2129,0.0623,3.1264,2026
Rhode Island,A10,106.035,103.173,66.2382,-0.0388,1.0363,2026
Richmond,A10,111.72,110.04,68.6494,-0.086,0.4676,2026
Saint Joseph's,A10,106.952,102.916,68.3672,0.0931,0.9818,2026
Saint Louis,A10,120.013,101.385,71.9633,0.0433,0.5593,2026
St. Bonaventure,A10,113.69,112.768,67.6612,-0.0415,1.508,2026
VCU,A10,120.239,103.361,69.8089,-0.0188,3.4575,2026
Boston College,ACC,104.063,102.939,66.331,-0.0353,6.9657,2026
California,ACC,113.552,101.826,69.2752,0.0581,7.1517,2026
Clemson,ACC,116.25,97.3099,65.6036,-0.0014,9.6187,2026
Duke,ACC,128.431,87.8156,67.3331,0.0303,14.1235,2026
Florida St.,ACC,116.947,104.449,72.046,-0.0014,10.7335,2026
Georgia Tech,ACC,108.083,107.432,71.6297,-0.0394,6.6391,2026
Louisville,ACC,125.702,99.5812,71.3621,-0.0165,12.3508,2026
Miami FL,ACC,121.765,100.609,69.5895,0.0006,6.7015,2026
N.C. State,ACC,123.217,103.617,69.7442,-0.025,11.9105,2026
North Carolina,ACC,121.57,100.498,68.7782,0.0771,11.4696,2026
Notre Dame,ACC,115.755,106.909,66.713,-0.0585,10.9977,2026
Pittsburgh,ACC,113.063,105.5,64.7103,-0.0785,10.8282,2026
SMU,ACC,123.719,106.233,71.1325,-0.033,11.0274,2026
Stanford,ACC,117.743,104.032,68.2496,0.0477,9.1717,2026
Syracuse,ACC,115.161,104.873,67.842,-0.0443,10.2109,2026
Virginia,ACC,121.702,96.4518,66.6744,0.0714,8.5979,2026
Virginia Tech,ACC,117.34,103.27,67.9699,0.0015,10.2033,2026
Wake Forest,ACC,116.828,105.454,69.9208,-0.0261,11.2224,2026
Albany,AE,103.494,118.415,65.6388,-0.0859,-7.02,2026
Binghamton,AE,97.7778,123.314,65.1072,-0.0192,-12.0066,2026
Bryant,AE,96.7391,119.738,64.4513,0.0094,-7.6482,2026
Maine,AE,91.7262,112.035,64.8524,-0.0308,-8.8623,2026
NJIT,AE,97.2397,114.131,68.0544,0.1262,-9.2811,2026
New Hampshire,AE,95.4293,116.151,67.2165,-0.0024,-7.7815,2026
UMBC,AE,107.631,110.494,66.4498,0.0477,-14.4372,2026
UMass Lowell,AE,102.751,116.875,68.9151,0.0182,-9.3969,2026
Vermont,AE,107.316,113.213,64.4879,0.0001,-10.7696,2026
Austin Peay,ASun,108.137,108.438,70.1198,0.0332,-6.2668,2026
Bellarmine,ASun,116.757,126.361,66.14,-0.0131,-4.403,2026
Central Arkansas,ASun,110.399,109.12,68.9259,0.0409,-5.0582,2026
Eastern Kentucky,ASun,109.397,121.027,68.6832,-0.0169,-3.7067,2026
Florida Gulf Coast,ASun,105.745,112.344,69.0723,-0.0291,-5.5555,2026
Jacksonville,ASun,103.259,114.712,65.1785,-0.0295,-3.7333,2026
Lipscomb,ASun,107.127,109.912,70.4841,0.0436,-4.8651,2026
North Alabama,ASun,99.7585,118.951,65.5759,0.0565,-4.3586,2026
North Florida,ASun,107.091,124.64,71.9545,-0.0293,-3.1655,2026
Queens,ASun,115.981,117.471,70.7192,0.0666,-5.3835,2026
Stetson,ASun,105.482,118.011,67.8854,0.0083,-3.5244,2026
West Georgia,ASun,101.774,114.305,70.1741,0.0725,-6.3388,2026
Charlotte,Amer,112.701,114.942,64.2701,0.01,0.4137,2026
East Carolina,Amer,103.76,111.153,69.151,-0.0056,-0.1913,2026
Florida Atlantic,Amer,110.482,107.018,70.3829,-0.0342,2.2864,2026
Memphis,Amer,107.638,104.356,71.4343,-0.0495,6.0058,2026
North Texas,Amer,103.871,101.825,65.8506,0.0112,0.7252,2026
Rice,Amer,108.706,113.919,66.7303,0.0093,0.0093,2026
South Florida,Amer,117.695,102.394,73.2047,-0.0261,3.2581,2026
Temple,Amer,112.626,111.905,65.438,-0.0622,-1.3412,2026
Tulane,Amer,107.975,111.603,68.0633,0.1253,0.6402,2026
Tulsa,Amer,122.266,108.304,68.8047,0.0159,0.3765,2026
UAB,Amer,109.871,105.871,70.4317,0.0195,-0.4043,2026
UTSA,Amer,99.7625,118.416,69.6179,-0.0013,1.7644,2026
Wichita St.,Amer,113.078,103.647,67.3186,-0.0445,0.6469,2026
Illinois,B10,131.683,99.0127,66.2027,-0.035,13.508,2026
Indiana,B10,121.121,102.999,66.7872,-0.0349,11.9802,2026
Iowa,B10,121.857,99.3199,63.4871,-0.0552,11.3571,2026
Maryland,B10,111.2,107.837,66.8264,0.014,14.9565,2026
Michigan,B10,128.55,89.1978,71.8642,0.0389,15.9909,2026
Michigan St.,B10,122.751,93.8158,66.8031,0.0194,13.7001,2026
Minnesota,B10,115.067,103.576,62.9756,-0.0505,11.0756,2026
Nebraska,B10,119.313,92.3554,67.4961,0.0279,11.0536,2026
Northwestern,B10,117.202,104.749,65.7313,-0.0953,13.2177,2026
Ohio St.,B10,124.301,102.622,66.8434,-0.0292,12.7664,2026
Oregon,B10,112.215,104.509,66.6163,-0.0301,13.2216,2026
Penn St.,B10,114.412,112.084,67.5899,-0.0049,10.887,2026
Purdue,B10,130.483,101.056,65.8764,-0.0207,14.9736,2026
Rutgers,B10,110.958,107.633,66.5436,0.0368,11.0063,2026
UCLA,B10,123.839,102.535,65.7353,0.0149,11.6127,2026
USC,B10,114.118,103.278,70.9942,0.0839,12.431,2026
Washington,B10,117.197,102.213,67.8636,-0.1046,11.8757,2026
Wisconsin,B10,125.338,102.736,69.1273,0.0384,12.6319,2026
Arizona,B12,126.652,89.312,71.826,0.0107,14.0889,2026
Arizona St.,B12,116.625,103.46,70.6536,0.0308,14.0824,2026
BYU,B12,125.964,103.548,70.4961,-0.0108,14.357,2026
Baylor,B12,123.242,106.994,69.5717,-0.0735,14.2417,2026
Cincinnati,B12,112.365,94.582,69.3109,-0.069,11.5473,2026
Colorado,B12,119.218,106.591,69.993,0.0343,11.1973,2026
Houston,B12,125.05,92.5563,64.9071,0.002,12.3461,2026
Iowa St.,B12,122.901,92.9424,68.3347,0.0056,11.4809,2026
Kansas,B12,119.459,94.073,68.3011,0.038,16.6563,2026
Kansas St.,B12,113.06,105.873,73.6887,-0.0688,13.049,2026
Oklahoma St.,B12,118.89,106.755,74.262,0.057,12.1533,2026
TCU,B12,114.662,97.224,69.5311,0.0104,10.7091,2026
Texas Tech,B12,126.176,100.057,68.0651,-0.0025,15.3247,2026
UCF,B12,122.002,106.824,70.7887,0.0843,11.2712,2026
Utah,B12,114.648,111.197,68.0965,-0.0068,12.1608,2026
West Virginia,B12,111.224,97.1642,64.002,-0.0333,9.0721,2026
Butler,BE,116.359,106.579,69.9531,-0.023,10.0357,2026
Connecticut,BE,122.641,94.3943,66.4073,0.0519,11.9416,2026
Creighton,BE,116.91,105.552,68.5477,-0.0216,11.7989,2026
DePaul,BE,107.773,100.798,67.8871,-0.0045,8.0043,2026
Georgetown,BE,114.905,105.249,67.5209,-0.0657,9.996,2026
Marquette,BE,111.799,102.134,69.8522,-0.1004,11.2569,2026
Providence,BE,121.321,109.938,72.2428,-0.098,10.728,2026
Seton Hall,BE,110.406,95.1103,66.3948,-0.0339,8.4893,2026
St. John's,BE,119.726,95.3022,71.2416,0.0602,11.2651,2026
Villanova,BE,120.993,100.002,66.5541,0.0698,10.4765,2026
Xavier,BE,116.57,108.871,71.2495,-0.0033,11.1566,2026
Eastern Washington,BSky,113.84,113.414,68.8296,-0.0722,1.2397,2026
Idaho,BSky,109.232,108.633,69.0654,-0.0225,-1.3037,2026
Idaho St.,BSky,109.698,116.717,67.0283,-0.0353,-0.2887,2026
Montana,BSky,106.658,108.557,70.7917,0.0292,0.0458,2026
Montana St.,BSky,111.098,108.099,67.3584,-0.0827,0.3405,2026
Northern Arizona,BSky,105.361,119.8,65.5099,0.0306,-0.7176,2026
Northern Colorado,BSky,112.075,109.666,69.861,-0.0141,-1.749,2026
Portland St.,BSky,104.006,102.149,68.8436,0.025,-1.6398,2026
Sacramento St.,BSky,106.025,114.338,72.2908,-0.0222,1.7383,2026
Weber St.,BSky,111.838,114.276,69.8527,-0.02,-1.6775,2026
Charleston Southern,BSth,106.014,112.449,73.3305,-0.0898,-6.0563,2026
Gardner Webb,BSth,95.7975,122.139,70.7775,-0.0014,-0.8618,2026
High Point,BSth,117.312,108.869,70.9313,0.0479,-8.8707,2026
Longwood,BSth,103.68,112.801,69.4124,-0.0355,-8.0869,2026
Presbyterian,BSth,103.463,112.463,66.0647,-0.0203,-4.5358,2026
Radford,BSth,106.476,114.143,72.4257,-0.0356,-6.8371,2026
UNC Asheville,BSth,105.001,111.665,67.0966,-0.0164,-3.3382,2026
USC Upstate,BSth,99.1766,111.566,69.235,0.0252,-5.2353,2026
