Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary,Player-additional
Money Williams,0,SO,G,6-4,200,Oakland CA,Oakland (CA),,13.2 Pts 3.5 Reb 3.1 Ast,money-williams-1
Joe Pridgen,11,SR,F,6-5,210,Winchendon MA,Governor's Academy,,11.5 Pts 6.8 Reb 1.3 Ast,joe-pridgen-1
Kai Johnson,1,JR,G,6-4,190,Olympia WA,Olympia (WA),,11.2 Pts 3.1 Reb 1.8 Ast,kai-johnson-1
Malik Moore,3,SO,G,6-5,185,Ventura CA,Heritage Christian (CA),,12.6 Pts 3.2 Reb 2.4 Ast,malik-moore-3
Brandon Whitney,12,SR,G,6-1,178,Mission Hills CA,Bishop Alemany HS,,9.3 Pts 2.2 Reb 2.7 Ast,brandon-whitney-1
Te'Jon Sawyer,32,SR,F,6-8,252,Richmond CA,Salesian Prep,,9.4 Pts 4.1 Reb 1.3 Ast,tejon-sawyer-1
Austin Patterson,20,JR,G,6-3,180,Sonora CA,Sonora HS,,5.6 Pts 2.2 Reb 0.7 Ast,austin-patterson-1
Jensen Bradtke,50,FR,F,6-10,220,Sandringham Australia,Lake Ginninderra College (Australia),,3.4 Pts 1.4 Reb 0.2 Ast,jensen-bradtke-1
Zack Davidson,14,FR,F,6-8,224,Santa Ana CA,Mater Dei (CA),,2.4 Pts 1.6 Reb 0.1 Ast,zack-davidson-1
Amari Jedkins,5,SO,F,6-7,195,Racine WI,Case (WI),,1.3 Pts 1.7 Reb 0.2 Ast,amari-jedkins-1
Jeremiah Dargan,8,JR,G,6-4,190,Concord CA,Clayton Valley Charter (CA),,2.4 Pts 0.6 Reb 0.3 Ast,jeremiah-dargan-1
Jalen Foy,15,JR,F,6-7,215,Las Vegas NV,Canyon Springs (NV),,0.8 Pts 0.8 Reb 0.2 Ast,jalen-foy-1
Adam Shoff,22,SR,G,6-1,167,Redding CA,Enterprise (CA),,0.2 Pts 0.1 Reb 0.0 Ast,adam-shoff-1
