season,player,player_key,#,class_year,position,height,weight,hometown,high_school,rsci_top_100,summary,player-additional,height_in,source_file,processed_at_utc,processed_at_local
2026,Money Williams,money_williams,0,JR,G,6-4,200,Oakland CA,Oakland (CA),,19.2 Pts 4.2 Reb 5.3 Ast,money-williams-1,76,data/raw/um_roster_2026_raw.csv,2026-02-02 03:30:38 UTC,2026-02-01 21:30:38 Central Standard Time
2026,Te'Jon Sawyer,tejon_sawyer,32,SR,F,6-8,252,Richmond CA,Salesian Prep,,10.7 Pts 5.0 Reb 1.0 Ast,tejon-sawyer-1,80,data/raw/um_roster_2026_raw.csv,2026-02-02 03:30:38 UTC,2026-02-01 21:30:38 Central Standard Time
2026,Brooklyn Hicks,brooklyn_hicks,3,JR,G,6-3,185,Seattle WA,Timberline (WA),,9.0 Pts 4.0 Reb 0.8 Ast,brooklyn-hicks-1,75,data/raw/um_roster_2026_raw.csv,2026-02-02 03:30:38 UTC,2026-02-01 21:30:38 Central Standard Time
2026,Tyler Thompson,tyler_thompson,4,SO,G,6-6,190,Fairfield CA,Vanden (CA),,9.4 Pts 4.4 Reb 1.4 Ast,tyler-thompson-3,78,data/raw/um_roster_2026_raw.csv,2026-02-02 03:30:38 UTC,2026-02-01 21:30:38 Central Standard Time
2026,Kenyon Aguino,kenyon_aguino,24,FR,F,6-7,222,Albuquerque NM,Volcano Vista (NM),,8.8 Pts 4.3 Reb 1.7 Ast,kenyon-aguino-1,79,data/raw/um_roster_2026_raw.csv,2026-02-02 03:30:38 UTC,2026-02-01 21:30:38 Central Standard Time
2026,Tyler Isaak,tyler_isaak,8,JR,G,6-3,185,Alamo CA,San Ramon Valley (CA),,7.4 Pts 3.0 Reb 2.9 Ast,tyler-isaak-1,75,data/raw/um_roster_2026_raw.csv,2026-02-02 03:30:38 UTC,2026-02-01 21:30:38 Central Standard Time
2026,Grant Kepley,grant_kepley,11,SO,G,6-4,180,Bellingham WA,Sehome (WA),,5.4 Pts 2.7 Reb 2.6 Ast,grant-kepley-1,76,data/raw/um_roster_2026_raw.csv,2026-02-02 03:30:38 UTC,2026-02-01 21:30:38 Central Standard Time
2026,Courtney Anderson,courtney_anderson,13,SO,G,6-5,182,Vallejo CA,Dublin (CA),,5.7 Pts 1.4 Reb 0.2 Ast,courtney-anderson-2,77,data/raw/um_roster_2026_raw.csv,2026-02-02 03:30:38 UTC,2026-02-01 21:30:38 Central Standard Time
2026,Connor Dick,connor_dick,10,JR,G,6-3,194,Missoula MT,Hellgate (MT),,3.0 Pts 1.7 Reb 0.3 Ast,connor-dick-1,75,data/raw/um_roster_2026_raw.csv,2026-02-02 03:30:38 UTC,2026-02-01 21:30:38 Central Standard Time
2026,Trae Taylor,trae_taylor,1,SR,F,6-9,207,San Diego CA,Mission Bay (CA),,2.6 Pts 1.8 Reb 0.1 Ast,trae-taylor-1,81,data/raw/um_roster_2026_raw.csv,2026-02-02 03:30:38 UTC,2026-02-01 21:30:38 Central Standard Time
2026,Chase Henderson,chase_henderson,2,JR,G,6-0,165,Des Moines IA,Hoover (IA),,2.4 Pts 0.7 Reb 0.7 Ast,chase-henderson-1,72,data/raw/um_roster_2026_raw.csv,2026-02-02 03:30:38 UTC,2026-02-01 21:30:38 Central Standard Time
2026,Kadyn Betts,kadyn_betts,7,JR,F,6-8,215,Pueblo CO,Pueblo Central (CO),,3.1 Pts 1.1 Reb 0.2 Ast,kadyn-betts-1,80,data/raw/um_roster_2026_raw.csv,2026-02-02 03:30:38 UTC,2026-02-01 21:30:38 Central Standard Time
2026,Amari Jedkins,amari_jedkins,5,JR,F,6-7,195,Racine WI,Case (WI),,1.5 Pts 1.3 Reb 0.0 Ast,amari-jedkins-1,79,data/raw/um_roster_2026_raw.csv,2026-02-02 03:30:38 UTC,2026-02-01 21:30:38 Central Standard Time
2026,Luke Moxon,luke_moxon,22,FR,G,6-3,210,Arcata CA,Arcata (CA),,,luke-moxon-1,75,data/raw/um_roster_2026_raw.csv,2026-02-02 03:30:38 UTC,2026-02-01 21:30:38 Central Standard Time
