season,game_number,date,time,type,site_flag,opponent,opponent_conference,srs,result_wl,team_points,opponent_points,overtime_text,w,l,streak,arena,location_type,overtime_flag,source_file,processed_at_utc,processed_at_local
2025,1,2024-11-04,9:00p,REG,,Hawaii-Hilo,,,W,92,61,,1,0,W 1,Adams Center/Dahlberg Arena,home,False,data/raw/um_schedule_2025_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2025,2,2024-11-08,10:00p,REG,@,Oregon,Big Ten,18.0,L,48,79,,1,1,L 1,Matthew Knight Arena,away,False,data/raw/um_schedule_2025_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2025,3,2024-11-10,10:00p,REG,,Northwest Indian,,,W,94,44,,2,1,W 1,Adams Center/Dahlberg Arena,home,False,data/raw/um_schedule_2025_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2025,4,2024-11-13,7:00p,REG,@,Tennessee (11),SEC,24.2,L,57,92,,2,2,L 1,Thompson-Boling Arena,away,False,data/raw/um_schedule_2025_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2025,5,2024-11-18,9:00p,REG,@,Utah State,MWC,13.56,L,83,95,,2,3,L 2,Dee Glen Smith Spectrum,away,False,data/raw/um_schedule_2025_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2025,6,2024-11-24,7:00p,REG,,Denver,Summit,-10.4,W,83,73,,3,3,W 1,Adams Center/Dahlberg Arena,home,False,data/raw/um_schedule_2025_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2025,7,2024-11-25,7:45p,REG,,Utah Tech,WAC,-10.29,W,69,66,,4,3,W 2,Adams Center/Dahlberg Arena,home,False,data/raw/um_schedule_2025_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2025,8,2024-11-27,9:00p,REG,,Cal State Northridge,Big West,1.83,W,83,75,,5,3,W 3,Adams Center/Dahlberg Arena,home,False,data/raw/um_schedule_2025_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2025,9,2024-12-04,9:00p,REG,,South Dakota State,Summit,2.15,W,71,67,,6,3,W 4,Adams Center/Dahlberg Arena,home,False,data/raw/um_schedule_2025_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
2025,10,2024-12-07,3:00p,REG,@,St. Thomas,Summit,1.01,L,81,88,,6,4,L 1,Schoenecker Arena,away,False,data/raw/um_schedule_2025_raw.csv,2026-02-02 02:51:47 UTC,2026-02-01 20:51:47 Central Standard Time
